date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:13	97184/97184	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2023%20May%202016%2009:00:29%20GMT	http://zaman-it.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://zaman-it.com/)
11:40:16	806/806	---MCZ	200	added ('OK')	text/xml	date:Wed,%2023%20Nov%202016%2005:40:14%20GMT	http://zaman-it.com/xmlrpc.php?rsd	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/xmlrpc0db0.php	(from http://zaman-it.com/)
11:40:16	969/969	---MC-	200	added ('OK')	application/json	date:Wed,%2023%20Nov%202016%2005:40:15%20GMT	http://zaman-it.com/wp-json/	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/wp-json/index.html	(from http://zaman-it.com/)
11:40:16	56422/56422	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2018%20Oct%202016%2009:03:15%20GMT	http://zaman-it.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.2.6	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min5223.js	(from http://zaman-it.com/)
11:40:16	107147/107147	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2018%20Oct%202016%2009:03:15%20GMT	http://zaman-it.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.2.6	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min5223.js	(from http://zaman-it.com/)
11:40:18	1045/1045	---MCZ	200	added ('OK')	text/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	http://zaman-it.com/wp-includes/wlwmanifest.xml	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/wp-includes/wlwmanifest.xml	(from http://zaman-it.com/)
11:40:19	2161/2161	---MC-	200	added ('OK')	application/json	date:Wed,%2023%20Nov%202016%2005:40:18%20GMT	http://zaman-it.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fzaman-it.com%2F	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/wp-json/oembed/1.0/embed00df.json	(from http://zaman-it.com/)
11:40:20	2260/2260	---MCZ	200	added ('OK')	text/xml	date:Wed,%2023%20Nov%202016%2005:40:20%20GMT	http://zaman-it.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fzaman-it.com%2F&format=xml	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/wp-json/oembed/1.0/embed4a42	(from http://zaman-it.com/)
11:40:21	317/317	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202016%2005:40:20%20GMT	http://zaman-it.com/wp-content/themes/arkahost	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/wp-content/themes/arkahost	(from http://zaman-it.com/)
11:40:21	0/0	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202016%2005:40:21%20GMT	http://zaman-it.com/wp-content/themes/arkahost/	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/wp-content/themes/arkahost/index.html	(from http://zaman-it.com/)
11:40:21	1519/1519	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Oct%202016%2009:03:05%20GMT	http://zaman-it.com/wp-content/themes/arkahost/assets/images/site-icon1.png	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/wp-content/themes/arkahost/assets/images/site-icon1.png	(from http://zaman-it.com/)
11:40:23	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202016%2005:40:22%20GMT	http://zaman-it.com/online-order	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/online-order	(from http://zaman-it.com/)
11:40:24	1612/1612	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Oct%202016%2009:03:05%20GMT	http://zaman-it.com/wp-content/themes/arkahost/assets/images/site-icon2.png	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/wp-content/themes/arkahost/assets/images/site-icon2.png	(from http://zaman-it.com/)
11:40:25	46098/46098	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202016%2005:40:24%20GMT	http://zaman-it.com/online-order/	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/online-order/index.html	(from http://zaman-it.com/)
11:40:26	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202016%2005:40:24%20GMT	http://zaman-it.com/support	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/support	(from http://zaman-it.com/)
11:40:26	108848/108848	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Nov%202016%2005:16:39%20GMT	http://zaman-it.com/wp-content/uploads/2016/11/keyboard-hi-tech-l.jpg	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/wp-content/uploads/2016/11/keyboard-hi-tech-l.jpg	(from http://zaman-it.com/)
11:40:26	1420/1420	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Oct%202016%2009:03:05%20GMT	http://zaman-it.com/wp-content/themes/arkahost/assets/images/site-icon3.png	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/wp-content/themes/arkahost/assets/images/site-icon3.png	(from http://zaman-it.com/)
11:40:28	46142/46142	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202016%2005:40:27%20GMT	http://zaman-it.com/support/	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/support/index.html	(from http://zaman-it.com/)
11:40:30	68458/68458	---M--	200	added ('OK')	image/png	date:Sat,%2022%20Oct%202016%2010:54:50%20GMT	http://zaman-it.com/wp-content/themes/arkahost/assets/images/logo.png	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/wp-content/themes/arkahost/assets/images/logo.png	(from http://zaman-it.com/)
11:40:30	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202016%2005:40:29%20GMT	http://zaman-it.com/domain-registration	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/domain-registration	(from http://zaman-it.com/)
11:40:31	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202016%2005:40:31%20GMT	http://zaman-it.com/dedicated-hosting	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/dedicated-hosting	(from http://zaman-it.com/)
11:40:32	57421/57421	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202016%2005:40:31%20GMT	http://zaman-it.com/domain-registration/	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/domain-registration/index.html	(from http://zaman-it.com/)
11:40:33	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202016%2005:40:33%20GMT	http://zaman-it.com/shared-hosting	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/shared-hosting	(from http://zaman-it.com/)
11:40:34	82166/82166	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202016%2005:40:33%20GMT	http://zaman-it.com/dedicated-hosting/	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/dedicated-hosting/index.html	(from http://zaman-it.com/)
11:40:36	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202016%2005:40:35%20GMT	http://zaman-it.com/static-website	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/static-website	(from http://zaman-it.com/)
11:40:37	81968/81968	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202016%2005:40:35%20GMT	http://zaman-it.com/shared-hosting/	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/shared-hosting/index.html	(from http://zaman-it.com/)
11:40:38	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202016%2005:40:37%20GMT	http://zaman-it.com/dynamic-website	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/dynamic-website	(from http://zaman-it.com/)
11:40:38	56774/56774	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202016%2005:40:37%20GMT	http://zaman-it.com/static-website/	E:/copy%20web%20template%20for%20misoftbd/misoftbd/zaman-it.com/static-website/index.html	(from http://zaman-it.com/)
